;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
18;shaw d;0.0;0.0;0.0;0.0;0.005747126436781609;0.012578616352201259;0.014634146341463415;0.016129032258064516;0.012448132780082987;0.008547008547008548;0.0;0.07008406271560233;0.0;0.00668651007196195;0.007008406271560233;0.016129032258064516
19;harden p;0.0;0.0;0.06914893617021277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06914893617021277;0.0;0.021866813607547306;0.006914893617021277;0.06914893617021277
20;craig jc;0.0;0.0;0.0;0.02027027027027027;0.017241379310344827;0.025157232704402517;0.0;0.005376344086021506;0.0;0.0;0.0;0.06804522637103912;0.0;0.010038399425534552;0.006804522637103912;0.025157232704402517
21;chapman jr;0.005494505494505495;0.006329113924050633;0.0;0.013513513513513514;0.011494252873563218;0.018867924528301886;0.0;0.005376344086021506;0.0;0.004273504273504274;0.0;0.06534915869346053;0.0;0.00633417017815485;0.006534915869346053;0.018867924528301886
22;hanto dw;0.005494505494505495;0.006329113924050633;0.0;0.013513513513513514;0.0;0.0;0.0;0.016129032258064516;0.008298755186721992;0.01282051282051282;0.0;0.06258543319736896;0.0;0.006276492691288717;0.006258543319736897;0.016129032258064516
23;shemie sd;0.01098901098901099;0.0;0.005319148936170213;0.0;0.005747126436781609;0.006289308176100629;0.004878048780487805;0.016129032258064516;0.004149377593360996;0.008547008547008548;0.00641025641025641;0.062048061716985306;0.0;0.0048402261454746935;0.006204806171698531;0.016129032258064516
24;miller fg;0.01098901098901099;0.0;0.010638297872340425;0.006756756756756757;0.011494252873563218;0.006289308176100629;0.004878048780487805;0.010752688172043012;0.0;0.0;0.0;0.06179836362030283;0.0;0.004816299186419002;0.0061798363620302835;0.011494252873563218
25;wong g;0.0;0.0;0.0;0.02027027027027027;0.017241379310344827;0.018867924528301886;0.0;0.005376344086021506;0.0;0.0;0.0;0.061755918194938496;0.0;0.008892402036945114;0.00617559181949385;0.02027027027027027
26;gill js;0.005494505494505495;0.0;0.010638297872340425;0.006756756756756757;0.011494252873563218;0.006289308176100629;0.004878048780487805;0.016129032258064516;0.0;0.0;0.0;0.06168020221181884;0.0;0.005417936134037394;0.006168020221181883;0.016129032258064516
27;gardiner d;0.005494505494505495;0.0;0.0;0.0;0.0;0.006289308176100629;0.014634146341463415;0.010752688172043012;0.016597510373443983;0.004273504273504274;0.019230769230769232;0.0580416628310608;0.0;0.006292678788211507;0.00580416628310608;0.016597510373443983
