;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
203;lanzman rs;1;1;0;1;1;0;0;0;0;0;0;4;0;0.5;0.36;1
204;van mook w;0;0;0;0;0;0;2;2;0;0;0;4;0;0.81;0.36;2
205;wang l;0;0;0;1;1;0;0;0;0;0;2;4;0;0.67;0.36;2
206;levine mh;1;0;0;0;0;0;0;0;3;0;0;4;0;0.92;0.36;3
207;kim sj;0;0;0;1;0;0;1;1;0;1;0;4;0;0.5;0.36;1
208;fisher js;0;0;0;0;0;1;0;2;0;1;0;4;0;0.67;0.36;2
209;josephson ma;0;0;0;1;1;1;0;1;0;0;0;4;0;0.5;0.36;1
210;dor fjmf;0;0;0;0;0;0;0;1;2;0;1;4;0;0.67;0.36;2
211;barnieh l;0;0;1;1;1;0;0;0;0;0;1;4;0;0.5;0.36;1
212;seaman s;0;0;0;0;0;0;0;0;1;1;2;4;0;0.67;0.36;2
213;douglas jf;1;1;0;1;0;0;1;0;0;0;0;4;0;0.5;0.36;1
214;kaplan b;0;1;0;0;0;1;0;0;0;2;0;4;0;0.67;0.36;2
215;dondorp w;0;0;0;0;1;1;1;0;1;0;0;4;0;0.5;0.36;1
216;siemionow mz;1;1;0;1;1;0;0;0;0;0;0;4;0;0.5;0.36;1
217;roberts jp;0;0;0;0;0;0;0;1;0;1;2;4;0;0.67;0.36;2
218;baquero a;0;3;0;0;0;0;0;0;0;0;1;4;0;0.92;0.36;3
219;blondin d;1;1;0;1;1;0;0;0;0;0;0;4;0;0.5;0.36;1
220;delbouille mh;0;1;0;0;1;0;0;0;0;1;1;4;0;0.5;0.36;1
221;li l;0;0;0;1;1;0;0;0;1;1;0;4;0;0.5;0.36;1
222;levin ls;0;0;0;0;0;0;2;0;2;0;0;4;0;0.81;0.36;2
223;jha v;0;0;0;1;0;1;0;0;0;0;2;4;0;0.67;0.36;2
224;meade mo;0;0;0;0;0;0;0;1;1;1;1;4;0;0.5;0.36;1
225;healey a;0;0;0;0;0;0;0;2;1;0;1;4;0;0.67;0.36;2
226;lucidi v;0;0;0;0;2;1;0;0;0;0;1;4;0;0.67;0.36;2
227;pruett tl;0;0;0;0;0;0;0;1;1;1;1;4;0;0.5;0.36;1
228;sque m;0;0;0;0;1;0;1;0;1;1;0;4;0;0.5;0.36;1
229;chasse m;0;0;0;0;0;0;0;1;0;2;1;4;0;0.67;0.36;2
230;green r;0;0;0;0;1;1;0;0;0;2;0;4;0;0.67;0.36;2
231;thys k;0;0;0;2;0;0;1;0;0;1;0;4;0;0.67;0.36;2
232;moreno c;0;1;0;0;2;1;0;0;0;0;0;4;0;0.67;0.36;2
233;ten hoopen r;0;0;0;0;0;0;2;1;0;1;0;4;0;0.67;0.36;2
234;allen mb;0;0;0;1;1;0;1;0;1;0;0;4;0;0.5;0.36;1
235;sugarman j;0;0;0;0;0;0;1;0;1;1;1;4;0;0.5;0.36;1
236;hays r;0;0;0;0;0;0;1;1;0;1;1;4;0;0.5;0.36;1
237;williams nj;0;0;0;0;0;0;1;0;3;0;0;4;0;0.92;0.36;3
238;samuel u;0;0;0;0;0;0;1;2;1;0;0;4;0;0.67;0.36;2
239;ramirez p;2;1;0;0;0;0;1;0;0;0;0;4;0;0.67;0.36;2
240;bowring mg;0;0;0;0;0;0;0;0;3;0;1;4;0;0.92;0.36;3
241;diamond jm;0;0;0;0;1;0;0;0;0;2;1;4;0;0.67;0.36;2
242;parrilla p;2;1;0;0;0;0;1;0;0;0;0;4;0;0.67;0.36;2
243;klassen dk;0;0;0;0;0;1;0;0;2;0;1;4;0;0.67;0.36;2
244;ramis g;2;1;0;0;0;0;1;0;0;0;0;4;0;0.67;0.36;2
245;egan tm;0;0;0;1;0;1;0;0;1;0;1;4;0;0.5;0.36;1
246;o'connell p;0;0;0;0;2;0;1;0;1;0;0;4;0;0.67;0.36;2
247;rios a;2;1;0;0;0;0;1;0;0;0;0;4;0;0.67;0.36;2
248;reyes-acevedo r;0;4;0;0;0;0;0;0;0;0;0;4;0;1.21;0.36;4
249;buccini ld;0;0;0;0;1;0;1;0;1;1;0;4;0;0.5;0.36;1
250;tonelli m;1;0;0;0;0;2;0;0;0;0;1;4;0;0.67;0.36;2
251;martinez-alarcon l;2;1;0;0;0;0;1;0;0;0;0;4;0;0.67;0.36;2
252;wilk ar;0;0;0;0;0;0;0;0;2;0;2;4;0;0.81;0.36;2
253;anderson as;0;0;0;0;0;0;0;0;1;1;2;4;0;0.67;0.36;2
254;bos m;0;0;0;0;0;0;1;1;0;1;0;3;0;0.47;0.27;1
255;shaw be;1;1;0;0;0;0;1;0;0;0;0;3;0;0.47;0.27;1
256;naicker s;0;0;0;1;0;0;1;1;0;0;0;3;0;0.47;0.27;1
257;huprikar s;0;0;0;0;0;0;0;1;0;0;2;3;0;0.65;0.27;2
258;mulligan dc;0;0;0;0;0;1;1;0;0;0;1;3;0;0.47;0.27;1
259;meningaud jp;0;1;1;1;0;0;0;0;0;0;0;3;0;0.47;0.27;1
260;singh p;0;0;0;0;0;1;0;0;0;1;1;3;0;0.47;0.27;1
261;maple h;0;0;0;0;1;0;0;0;1;0;1;3;0;0.47;0.27;1
262;schnitzler ma;0;0;1;0;0;0;1;0;1;0;0;3;0;0.47;0.27;1
263;hartell d;0;0;0;0;0;0;0;1;1;1;0;3;0;0.47;0.27;1
264;epstein m;0;2;0;0;0;0;0;1;0;0;0;3;0;0.65;0.27;2
265;huang es;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
266;bruno b;0;0;0;0;0;0;0;0;2;0;1;3;0;0.65;0.27;2
267;caicedo jc;0;1;0;0;0;0;1;0;1;0;0;3;0;0.47;0.27;1
268;benaroyo l;0;1;0;1;1;0;0;0;0;0;0;3;0;0.47;0.27;1
