;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
6124;leak;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6125;overemphasize;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6126;copenhagen;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00641025641025641;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6127;supratentorial;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6128;bangladesh;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6129;relata;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6130;bazaar;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6131;broadcasting;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6132;cardioverter;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6133;devastate;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6134;corporation;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6135;rightholder;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6136;hester;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6137;reciprocate;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6138;xenotransplantion;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6139;campbell;0.0;0.0;0.010638297872340425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425;0.0;0.003364125170391893;0.0010638297872340426;0.010638297872340425
6140;english-;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6141;attom;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6142;harsh;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6143;p=0.02;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6144;humankind;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6145;stepwise;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6146;equip;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6147;closure;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6148;participatory;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6149;uncomfortable;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6150;6th;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6151;p>0.05;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6152;defence;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6153;disastrous;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6154;parenteral;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6155;1.55;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.00641025641025641;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6156;fertile;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.010625175217269415;0.0;0.002249330452117425;0.0010625175217269414;0.005747126436781609
6157;lived;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6158;36.2;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6159;rhythm;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6160;medicolegal;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6161;sure;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6162;prepared;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6163;1.05;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6164;47.5;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6165;41.4;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6166;sequelae;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6167;motivated;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6168;283;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6169;enforce;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6170;wean;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6171;abound;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.00641025641025641;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6172;kuster;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.00641025641025641;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6173;prison;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.00641025641025641;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6174;behavioural;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6175;206;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6176;rokitansky;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.00641025641025641;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6177;reassess;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6178;416;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6179;120;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6180;traction;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.010602618197554908;0.0;0.0022871372347436783;0.0010602618197554908;0.006329113924050633
6181;style;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6182;monotherapy;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6183;recruiting;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6184;chief;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6185;leg;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.00641025641025641;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6186;precision;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6187;diametrical;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6188;insofar;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6189;10.2;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6190;koch;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6191;hesitant;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
6192;proactively;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.0;0.010562812449604903;0.0;0.0022769603379425895;0.0010562812449604903;0.006289308176100629
