;coi_lemmas;df_2021;df_2022;total;min;std;mean;max
24;article;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
25;disclose;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
26;food;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
27;yl;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
28;integrative;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
29;editor;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
30;nccam;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
31;national;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
32;university;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
33;relationship;0.04878048780487805;0.3;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
34;construe;0.04878048780487805;0.2;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
35;commercial;0.04878048780487805;0.2;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
36;conduct;0.04878048780487805;0.2;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
37;absence;0.04878048780487805;0.2;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
38;center;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
39;technology;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
40;nutraceutical;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
41;complementary;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
42;alternative;0.04878048780487805;0.0;0.04878048780487805;0.04878048780487805;;0.04878048780487805;0.04878048780487805
43;kd;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
44;mm;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
45;anw;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
46;salary;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
47;rt;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
48;wh;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
49;zzw;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
50;interestthe;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
51;review;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
52;xml;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
53;institute;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
54;authorship;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
55;nih)/national;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
56;respect;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
57;time;0.024390243902439025;0.0;0.024390243902439025;0.024390243902439025;;0.024390243902439025;0.024390243902439025
