;lemmas;df_1988;df_1989;df_1990;df_1991;df_1992;df_1993;df_1994;df_1995;df_1996;df_1997;df_1998;df_1999;df_2000;df_2001;df_2002;df_2003;df_2004;df_2005;df_2006;df_2007;df_2008;df_2009;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;df_2021;total;min;std;mean;max
28;ci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5;0.0;1.1661254155743646;0.2878787878787879;5.5
29;marc;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;9.5;0.0;1.0080171054344687;0.2878787878787879;5.0
30;result;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;1.0;0.0;2.0;0.0;0.0;0.5;0.0;0.0;1.0;0.0;1.0;1.0;0.0;9.333333333333334;0.0;0.499104838416379;0.2828282828282829;2.0
31;case;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;0.8300123219238703;0.2727272727272727;4.0
32;yeast;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.5;1.5;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.9527174053965083;0.2727272727272727;5.0
33;concentration;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;8.666666666666666;0.0;0.9382222246146925;0.2626262626262626;5.0
34;non;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5;0.0;0.9364261526644475;0.25757575757575757;5.0
35;ratio;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;4.0;0.0;0.0;0.0;0.0;8.5;0.0;0.7419602755572905;0.25757575757575757;4.0
36;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;8.333333333333334;0.0;0.6456602081413291;0.25252525252525254;2.3333333333333335
37;wine;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;8.333333333333332;0.0;0.6615968845984975;0.2525252525252525;3.0
38;coffee;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;1.3926212476455828;0.24242424242424243;8.0
39;l.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;7.666666666666667;0.0;1.2204417702119648;0.23232323232323232;7.0
40;spirit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;1.0;0.0;2.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;7.666666666666666;0.0;0.5906378877773711;0.2323232323232323;2.5
41;perform;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;1.6666666666666667;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.5;1.0;0.0;7.5;0.0;0.48199920365414745;0.22727272727272727;1.6666666666666667
42;treatment;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;2.5;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;7.166666666666666;0.0;0.5278442276084192;0.21717171717171715;2.5
43;base;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;2.0;0.0;0.5;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;7.166666666666666;0.0;0.4885580549576202;0.21717171717171715;2.0
44;level;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;1.5;1.0;0.0;0.0;0.0;1.0;0.0;3.0;6.833333333333334;0.0;0.4983136545555402;0.2070707070707071;2.0
45;time;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6666666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;6.666666666666667;0.0;0.6232720220481691;0.20202020202020202;3.0
46;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;6.666666666666666;0.0;0.6005749209634346;0.202020202020202;3.0
47;effect;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.5;0.0;0.0;6.5;0.0;0.3940850546557561;0.19696969696969696;1.0
48;echocardiography;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.5;0.0;0.8472325715546057;0.19696969696969696;4.5
49;observe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;6.5;0.0;0.58549383455595;0.19696969696969696;3.0
50;strain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;6.5;0.0;0.6839612783652524;0.19696969696969696;3.0
