;lemmas;df_1988;df_1989;df_1990;df_1991;df_1992;df_1993;df_1994;df_1995;df_1996;df_1997;df_1998;df_1999;df_2000;df_2001;df_2002;df_2003;df_2004;df_2005;df_2006;df_2007;df_2008;df_2009;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;df_2021;total;min;std;mean;max
54;consumption;0;0;0;0;0;0;0;0;6;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1.22;0.32;6
55;echocardiography;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;11;0;1.57;0.32;9
56;phase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;0;0;0;0;0;1;1;0;0;0;0;0;0;11;0;1.22;0.32;7
57;systemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;0;11;0;1.72;0.32;10
58;concentration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;5;0;0;0;0;11;0;1.01;0.32;5
59;reaction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;1.71;0.29;10
60;array;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1.29;0.29;7
61;italian;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;2;10;0;0.63;0.29;2
62;year;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;10;0;0.94;0.29;5
63;effect;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;2;1;0;0;1;0;0;10;0;0.63;0.29;2
64;conclusion;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;2;1;0;10;0;0.58;0.29;2
65;spectroscopic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0.97;0.29;4
66;low;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;3;0;1;0;0;1;0;0;10;0;0.63;0.29;3
67;obtain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;2;0;0;1;0;0;0;0;1;0;0;10;0;0.8;0.29;4
68;distillate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;5;10;0;0.94;0.29;5
69;solution;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;5;0;0;9;0;0.99;0.26;5
70;ethanol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0;0;1;0;0;3;9;0;0.67;0.26;3
71;show;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;2;0;0;0;0;1;0;1;9;0;0.57;0.26;2
72;volatile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;4;9;0;0.96;0.26;4
73;production;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;1;0;0;0;0;0;0;9;0;0.67;0.26;2
74;coil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1.08;0.26;5
75;population;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;9;0;0.9;0.26;5
76;epsi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1.54;0.26;9
77;myocardial;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;9;0;0.83;0.26;4
78;smoker;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1.54;0.26;9
79;significant;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;0;1;9;0;0.57;0.26;2
80;<;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9;0;0.83;0.26;4
81;mr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;8;0;0.89;0.24;5
82;compound;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;4;8;0;0.78;0.24;4
83;evaluate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;3;0;0;0;0;0;0;8;0;0.65;0.24;3
84;order;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0.61;0.24;3
85;present;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;8;0;0.43;0.24;1
86;specie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;6;0;0;8;0;1.05;0.24;6
87;italy;0;0;0;0;0;0;0;0;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;8;0;0.65;0.24;3
88;mrsi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1.21;0.24;7
89;inhibitor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;8;0;1.21;0.24;7
90;subject;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;3;0;1;0;0;8;0;0.65;0.24;3
91;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;2;0;8;0;0.61;0.24;2
92;variety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;1;8;0;1.05;0.24;6
93;test;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0.78;0.24;4
94;32-channel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0.99;0.24;5
95;resonance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0.92;0.24;5
96;sample;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;2;0;0;0;0;1;8;0;0.65;0.24;3
97;magnetic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0.92;0.24;5
98;g;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;8;0;0.78;0.24;4
99;disease;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;7;0;0.59;0.21;2
100;cardiac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;7;0;1.04;0.21;6
101;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;1.04;0.21;6
102;snr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1.04;0.21;6
103;artery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0.84;0.21;4
104;drink;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;7;0;0.73;0.21;4
105;marcs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;2;0;0;0;0;0;0;7;0;0.77;0.21;4
106;age;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;7;0;0.73;0.21;4
107;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0.73;0.21;4
108;observe;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;7;0;0.59;0.21;3
109;main;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;7;0;0.41;0.21;1
110;reduce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;7;0;0.54;0.21;2
111;find;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;7;0;0.48;0.21;2
112;report;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;4;0;0;7;0;0.77;0.21;4
113;noise;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0.77;0.21;4
114;product;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;1;1;0;0;0;0;0;0;7;0;0.48;0.21;2
115;pulmonary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1.2;0.21;7
116;partially;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0.64;0.21;3
117;improve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;7;0;0.59;0.21;2
118;content;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;1;0;2;7;0;0.54;0.21;2
119;use;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;2;0;0;0;1;0;0;7;0;0.48;0.21;2
120;cerevisiae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;2;0;0;0;0;0;0;7;0;0.77;0.21;4
121;term;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;1;0;0;0;0;0;7;0;0.64;0.21;3
122;diagnosis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;7;0;0.77;0.21;4
123;drinking;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0.59;0.21;2
124;provide;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;2;1;0;0;0;7;0;0.48;0.21;2
125;storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;1;0;0;0;0;0;0;7;0;0.64;0.21;3
126;rate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;7;0;0.54;0.21;2
127;tla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;7;0;1.2;0.21;7
128;ovarian;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1.2;0.21;7
129;woman;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0.52;0.18;2
130;resolution;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0.72;0.18;4
131;procedure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;1;0;0;6;0;0.46;0.18;2
132;sequence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0.76;0.18;4
133;range;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;6;0;0.39;0.18;1
134;phantom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0.76;0.18;4
135;group;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0.72;0.18;4
136;2-butanol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;1.03;0.18;6
137;addition;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;0;0;0;1;0;0;6;0;0.46;0.18;2
138;augmentation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;1.03;0.18;6
139;detect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;1;0;6;0;0.63;0.18;3
140;new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0;1;6;0;0.58;0.18;3
141;sub;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;1.03;0.18;6
142;aim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;1;0;0;6;0;0.52;0.18;2
143;methanol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0.76;0.18;4
144;process;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;1;6;0;0.58;0.18;3
145;mean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;6;0;0.63;0.18;3
146;difference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;0;0;1;0;0;0;0;6;0;0.46;0.18;2
147;agent;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0.52;0.18;2
148;component;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1.03;0.18;6
149;sglt2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6;0;1.03;0.18;6
150;reference;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;6;0;0.58;0.18;3
151;tsense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1.03;0.18;6
152;echo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0.76;0.18;4
153;ckd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6;0;1.03;0.18;6
154;5;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0.52;0.18;2
